Health Workforce Data

"National Health Workforce Dataset"
"Professions, Year, ASGS 2021, Job Area and Summation Options by Workforce Status"
"Counting: Number of Practitioners, FTE Total"

Filters:
"Workforce Status","Employed in Australia working in  registered profession"


"Professions","Year","ASGS 2021","Job Area","Summation Options",
,,"Canning","General practitioner (GP)","Number of Practitioners",195,
,,,,"FTE Total",172.4,
,,,"Hospital non-specialist","Number of Practitioners",19,
,,,,"FTE Total",21.2,
,,,"Specialist","Number of Practitioners",40,
,,,,"FTE Total",37.6,
,,,"Specialist-in-training","Number of Practitioners",29,
,,,,"FTE Total",27.6,
,,,"Other clinician","Number of Practitioners",13,
,,,,"FTE Total",11.5,
,,,"Non-clinician","Number of Practitioners",7,
,,,,"FTE Total",3.3,
,,"Gosnells","General practitioner (GP)","Number of Practitioners",108,
,,,,"FTE Total",102.4,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",12,
,,,,"FTE Total",11.7,
,,,"Specialist-in-training","Number of Practitioners",13,
,,,,"FTE Total",12.4,
,,"Kalamunda","General practitioner (GP)","Number of Practitioners",64,
,,,,"FTE Total",54.6,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",3.0,
,,,"Other clinician","Number of Practitioners",3,
,,"Serpentine - Jarrahdale","General practitioner (GP)","Number of Practitioners",21,
,,,,"FTE Total",20.1,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Other clinician","Number of Practitioners",3,
,,"South Perth","General practitioner (GP)","Number of Practitioners",38,
,,,,"FTE Total",31.7,
,,,"Specialist","Number of Practitioners",36,
,,,,"FTE Total",36.3,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",3.2,
,,"Cockburn","General practitioner (GP)","Number of Practitioners",130,
,,,,"FTE Total",123.4,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist","Number of Practitioners",36,
,,,,"FTE Total",32.5,
,,,"Specialist-in-training","Number of Practitioners",30,
,,,,"FTE Total",26.4,
,,,"Other clinician","Number of Practitioners",11,
,,,,"FTE Total",11.0,
,,,"Non-clinician","FTE Total",3.0,
,,"Fremantle","General practitioner (GP)","Number of Practitioners",96,
,,,,"FTE Total",69.8,
,,,"Hospital non-specialist","Number of Practitioners",44,
,,,,"FTE Total",52.0,
,,,"Specialist","Number of Practitioners",83,
,,,,"FTE Total",78.1,
,,,"Specialist-in-training","Number of Practitioners",35,
,,,,"FTE Total",36.2,
,,,"Other clinician","Number of Practitioners",10,
,,,,"FTE Total",8.9,
,,,"Non-clinician","Number of Practitioners",7,
,,,,"FTE Total",6.3,
,,"Kwinana","General practitioner (GP)","Number of Practitioners",32,
,,,,"FTE Total",33.0,
,,,"Specialist","Number of Practitioners",3,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",5.4,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",6.8,
,,"Melville","General practitioner (GP)","Number of Practitioners",173,
,,,,"FTE Total",144.4,
,,,"Hospital non-specialist","Number of Practitioners",262,
,,,,"FTE Total",304.8,
,,,"Specialist","Number of Practitioners",638,
,,,,"FTE Total",702.8,
,,,"Specialist-in-training","Number of Practitioners",255,
,,,,"FTE Total",288.8,
,,,"Other clinician","Number of Practitioners",40,
,,,,"FTE Total",35.0,
,,,"Non-clinician","Number of Practitioners",9,
,,,,"FTE Total",4.0,
,,"Rockingham","General practitioner (GP)","Number of Practitioners",125,
,,,,"FTE Total",123.2,
,,,"Hospital non-specialist","Number of Practitioners",69,
,,,,"FTE Total",77.3,
,,,"Specialist","Number of Practitioners",116,
,,,,"FTE Total",117.8,
,,,"Specialist-in-training","Number of Practitioners",52,
,,,,"FTE Total",52.6,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",7.8,
,,,"Non-clinician","FTE Total",3.0,
,,"Albany","General practitioner (GP)","Number of Practitioners",88,
,,,,"FTE Total",82.1,
,,,"Hospital non-specialist","Number of Practitioners",23,
,,,,"FTE Total",27.4,
,,,"Specialist","Number of Practitioners",52,
,,,,"FTE Total",58.4,
,,,"Specialist-in-training","Number of Practitioners",31,
,,,,"FTE Total",33.7,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",3.4,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.2,
,,"Wheat Belt - North","General practitioner (GP)","Number of Practitioners",46,
,,,,"FTE Total",47.1,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",11,
,,,,"FTE Total",11.5,
,,,"Specialist-in-training","Number of Practitioners",14,
,,,,"FTE Total",14.0,
,,,"Other clinician","Number of Practitioners",3,
,,,"Non-clinician","Number of Practitioners",3,
,,"Wheat Belt - South","General practitioner (GP)","Number of Practitioners",15,
,,,,"FTE Total",14.9,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist","Number of Practitioners",5,
,,,,"FTE Total",4.0,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",5.4,
,,"Kimberley","General practitioner (GP)","Number of Practitioners",102,
,,,,"FTE Total",100.5,
,,,"Hospital non-specialist","Number of Practitioners",33,
,,,,"FTE Total",39.4,
,,,"Specialist","Number of Practitioners",37,
,,,,"FTE Total",43.9,
,,,"Specialist-in-training","Number of Practitioners",29,
,,,,"FTE Total",31.9,
,,,"Other clinician","Number of Practitioners",11,
,,,,"FTE Total",15.8,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"East Pilbara","General practitioner (GP)","Number of Practitioners",26,
,,,,"FTE Total",29.5,
,,,"Hospital non-specialist","Number of Practitioners",9,
,,,,"FTE Total",11.4,
,,,"Specialist","Number of Practitioners",17,
,,,,"FTE Total",19.4,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.1,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",7.3,
,,"West Pilbara","General practitioner (GP)","Number of Practitioners",36,
,,,,"FTE Total",44.7,
,,,"Hospital non-specialist","Number of Practitioners",6,
,,,,"FTE Total",6.8,
,,,"Specialist","Number of Practitioners",9,
,,,,"FTE Total",11.4,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",6.1,
,,"Esperance","General practitioner (GP)","Number of Practitioners",23,
,,,,"FTE Total",24.5,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",4,
,,,,"FTE Total",3.7,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",3.3,
,,"Gascoyne","General practitioner (GP)","Number of Practitioners",21,
,,,,"FTE Total",25.6,
,,,"Specialist","Number of Practitioners",4,
,,,,"FTE Total",5.8,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.1,
,,"Goldfields","General practitioner (GP)","Number of Practitioners",37,
,,,,"FTE Total",39.4,
,,,"Hospital non-specialist","Number of Practitioners",23,
,,,,"FTE Total",25.8,
,,,"Specialist","Number of Practitioners",22,
,,,,"FTE Total",25.4,
,,,"Specialist-in-training","Number of Practitioners",13,
,,,,"FTE Total",14.3,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",5.1,
,,,"Non-clinician","FTE Total",3.0,
,,"Mid West","General practitioner (GP)","Number of Practitioners",64,
,,,,"FTE Total",68.0,
,,,"Hospital non-specialist","Number of Practitioners",35,
,,,,"FTE Total",45.0,
,,,"Specialist","Number of Practitioners",39,
,,,,"FTE Total",45.8,
,,,"Specialist-in-training","Number of Practitioners",17,
,,,,"FTE Total",17.8,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",4.9,
,,,"Non-clinician","FTE Total",3.0,
,"2022","Augusta - Margaret River - Busselton","General practitioner (GP)","Number of Practitioners",101,
,,,,"FTE Total",91.1,
,,,"Hospital non-specialist","Number of Practitioners",8,
,,,,"FTE Total",8.0,
,,,"Specialist","Number of Practitioners",40,
,,,,"FTE Total",41.1,
,,,"Specialist-in-training","Number of Practitioners",16,
,,,,"FTE Total",16.3,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Bunbury","General practitioner (GP)","Number of Practitioners",121,
,,,,"FTE Total",114.2,
,,,"Hospital non-specialist","Number of Practitioners",79,
,,,,"FTE Total",86.3,
,,,"Specialist","Number of Practitioners",127,
,,,,"FTE Total",143.0,
,,,"Specialist-in-training","Number of Practitioners",90,
,,,,"FTE Total",99.3,
,,,"Other clinician","Number of Practitioners",10,
,,,,"FTE Total",9.7,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Manjimup","General practitioner (GP)","Number of Practitioners",21,
,,,,"FTE Total",24.9,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist","Number of Practitioners",4,
,,,,"FTE Total",5.9,
,,,"Specialist-in-training","Number of Practitioners",6,
,,,,"FTE Total",5.8,
,,,"Non-clinician","Number of Practitioners",3,
,,"Mandurah","General practitioner (GP)","Number of Practitioners",119,
,,,,"FTE Total",110.9,
,,,"Hospital non-specialist","Number of Practitioners",26,
,,,,"FTE Total",28.2,
,,,"Specialist","Number of Practitioners",60,
,,,,"FTE Total",68.3,
,,,"Specialist-in-training","Number of Practitioners",24,
,,,,"FTE Total",22.1,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Cottesloe - Claremont","General practitioner (GP)","Number of Practitioners",176,
,,,,"FTE Total",141.0,
,,,"Hospital non-specialist","Number of Practitioners",376,
,,,,"FTE Total",428.2,
,,,"Specialist","Number of Practitioners",971,
,,,,"FTE Total",1022.4,
,,,"Specialist-in-training","Number of Practitioners",403,
,,,,"FTE Total",443.4,
,,,"Other clinician","Number of Practitioners",66,
,,,,"FTE Total",66.5,
,,,"Non-clinician","Number of Practitioners",26,
,,,,"FTE Total",19.4,
,,"Perth City","General practitioner (GP)","Number of Practitioners",332,
,,,,"FTE Total",265.7,
,,,"Hospital non-specialist","Number of Practitioners",360,
,,,,"FTE Total",411.2,
,,,"Specialist","Number of Practitioners",1073,
,,,,"FTE Total",1108.5,
,,,"Specialist-in-training","Number of Practitioners",345,
,,,,"FTE Total",397.6,
,,,"Other clinician","Number of Practitioners",105,
,,,,"FTE Total",94.2,
,,,"Non-clinician","Number of Practitioners",43,
,,,,"FTE Total",38.0,
,,"Bayswater - Bassendean","General practitioner (GP)","Number of Practitioners",75,
,,,,"FTE Total",68.4,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.3,
,,,"Specialist","Number of Practitioners",8,
,,,,"FTE Total",7.8,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",4.8,
,,,"Other clinician","Number of Practitioners",3,
,,"Mundaring","General practitioner (GP)","Number of Practitioners",34,
,,,,"FTE Total",33.3,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Non-clinician","Number of Practitioners",3,
,,"Swan","General practitioner (GP)","Number of Practitioners",162,
,,,,"FTE Total",148.9,
,,,"Hospital non-specialist","Number of Practitioners",93,
,,,,"FTE Total",100.4,
,,,"Specialist","Number of Practitioners",162,
,,,,"FTE Total",162.8,
,,,"Specialist-in-training","Number of Practitioners",98,
,,,,"FTE Total",100.8,
,,,"Other clinician","Number of Practitioners",14,
,,,,"FTE Total",13.3,
,,,"Non-clinician","Number of Practitioners",3,
,,"Joondalup","General practitioner (GP)","Number of Practitioners",233,
,,,,"FTE Total",196.5,
,,,"Hospital non-specialist","Number of Practitioners",122,
,,,,"FTE Total",130.4,
,,,"Specialist","Number of Practitioners",243,
,,,,"FTE Total",260.5,
,,,"Specialist-in-training","Number of Practitioners",100,
,,,,"FTE Total",98.6,
,,,"Other clinician","Number of Practitioners",25,
,,,,"FTE Total",20.5,
,,,"Non-clinician","Number of Practitioners",4,
,,,,"FTE Total",3.0,
,,"Stirling","General practitioner (GP)","Number of Practitioners",192,
,,,,"FTE Total",164.7,
,,,"Hospital non-specialist","Number of Practitioners",23,
,,,,"FTE Total",24.3,
,,,"Specialist","Number of Practitioners",113,
,,,,"FTE Total",106.1,
,,,"Specialist-in-training","Number of Practitioners",36,
,,,,"FTE Total",39.0,
,,,"Other clinician","Number of Practitioners",10,
,,,,"FTE Total",6.9,
,,,"Non-clinician","Number of Practitioners",5,
,,,,"FTE Total",3.3,
,,"Wanneroo","General practitioner (GP)","Number of Practitioners",197,
,,,,"FTE Total",176.6,
,,,"Hospital non-specialist","Number of Practitioners",5,
,,,,"FTE Total",7.6,
,,,"Specialist","Number of Practitioners",20,
,,,,"FTE Total",18.2,
,,,"Specialist-in-training","Number of Practitioners",23,
,,,,"FTE Total",19.1,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",8.1,
,,"Armadale","General practitioner (GP)","Number of Practitioners",83,
,,,,"FTE Total",83.3,
,,,"Hospital non-specialist","Number of Practitioners",50,
,,,,"FTE Total",55.7,
,,,"Specialist","Number of Practitioners",94,
,,,,"FTE Total",98.6,
,,,"Specialist-in-training","Number of Practitioners",46,
,,,,"FTE Total",47.6,
,,,"Other clinician","Number of Practitioners",12,
,,,,"FTE Total",12.7,
,,,"Non-clinician","Number of Practitioners",3,
,,"Belmont - Victoria Park","General practitioner (GP)","Number of Practitioners",84,
,,,,"FTE Total",66.0,
,,,"Hospital non-specialist","Number of Practitioners",6,
,,,,"FTE Total",7.2,
,,,"Specialist","Number of Practitioners",13,
,,,,"FTE Total",15.7,
,,,"Specialist-in-training","Number of Practitioners",13,
,,,,"FTE Total",11.8,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",6.9,
,,"Canning","General practitioner (GP)","Number of Practitioners",180,
,,,,"FTE Total",155.8,
,,,"Hospital non-specialist","Number of Practitioners",31,
,,,,"FTE Total",32.1,
,,,"Specialist","Number of Practitioners",54,
,,,,"FTE Total",53.7,
,,,"Specialist-in-training","Number of Practitioners",29,
,,,,"FTE Total",26.7,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",3.6,
,,,"Non-clinician","Number of Practitioners",7,
,,,,"FTE Total",5.4,
,,"Gosnells","General practitioner (GP)","Number of Practitioners",112,
,,,,"FTE Total",102.2,
,,,"Specialist","Number of Practitioners",8,
,,,,"FTE Total",7.9,
,,,"Specialist-in-training","Number of Practitioners",16,
,,,,"FTE Total",14.0,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",4.5,
,,"Kalamunda","General practitioner (GP)","Number of Practitioners",61,
,,,,"FTE Total",55.2,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",4.3,
,,,"Specialist","Number of Practitioners",5,
,,,,"FTE Total",5.7,
,,,"Specialist-in-training","Number of Practitioners",6,
,,,,"FTE Total",5.6,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Non-clinician","FTE Total",3.0,
,,"Serpentine - Jarrahdale","General practitioner (GP)","Number of Practitioners",22,
,,,,"FTE Total",22.4,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"South Perth","General practitioner (GP)","Number of Practitioners",37,
,,,,"FTE Total",31.7,
,,,"Hospital non-specialist","Number of Practitioners",6,
,,,,"FTE Total",7.2,
,,,"Specialist","Number of Practitioners",39,
,,,,"FTE Total",38.0,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",4.5,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",5.8,
,,"Cockburn","General practitioner (GP)","Number of Practitioners",132,
,,,,"FTE Total",123.0,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",37,
,,,,"FTE Total",36.7,
,,,"Specialist-in-training","Number of Practitioners",23,
,,,,"FTE Total",22.3,
,,,"Other clinician","Number of Practitioners",11,
,,,,"FTE Total",10.2,
,,,"Non-clinician","Number of Practitioners",3,
,,"Fremantle","General practitioner (GP)","Number of Practitioners",93,
,,,,"FTE Total",67.4,
,,,"Hospital non-specialist","Number of Practitioners",40,
,,,,"FTE Total",45.0,
,,,"Specialist","Number of Practitioners",84,
,,,,"FTE Total",75.1,
,,,"Specialist-in-training","Number of Practitioners",30,
,,,,"FTE Total",33.2,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",3.2,
,,,"Non-clinician","Number of Practitioners",5,
,,,,"FTE Total",3.0,
,,"Kwinana","General practitioner (GP)","Number of Practitioners",30,
,,,,"FTE Total",29.9,
,,,"Specialist","FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",12,
,,,,"FTE Total",11.0,
,,"Melville","General practitioner (GP)","Number of Practitioners",202,
,,,,"FTE Total",161.8,
,,,"Hospital non-specialist","Number of Practitioners",303,
,,,,"FTE Total",347.4,
,,,"Specialist","Number of Practitioners",687,
,,,,"FTE Total",741.0,
,,,"Specialist-in-training","Number of Practitioners",260,
,,,,"FTE Total",286.7,
,,,"Other clinician","Number of Practitioners",40,
,,,,"FTE Total",39.2,
,,,"Non-clinician","Number of Practitioners",6,
,,,,"FTE Total",5.4,
,,"Rockingham","General practitioner (GP)","Number of Practitioners",132,
,,,,"FTE Total",130.8,
,,,"Hospital non-specialist","Number of Practitioners",54,
,,,,"FTE Total",61.3,
,,,"Specialist","Number of Practitioners",111,
,,,,"FTE Total",116.3,
,,,"Specialist-in-training","Number of Practitioners",49,
,,,,"FTE Total",46.8,
,,,"Other clinician","Number of Practitioners",10,
,,,,"FTE Total",8.7,
,,"Albany","General practitioner (GP)","Number of Practitioners",85,
,,,,"FTE Total",79.6,
,,,"Hospital non-specialist","Number of Practitioners",34,
,,,,"FTE Total",37.8,
,,,"Specialist","Number of Practitioners",64,
,,,,"FTE Total",68.1,
,,,"Specialist-in-training","Number of Practitioners",36,
,,,,"FTE Total",37.0,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",4.4,
,,,"Non-clinician","FTE Total",3.0,
,,"Wheat Belt - North","General practitioner (GP)","Number of Practitioners",38,
,,,,"FTE Total",35.1,
,,,"Hospital non-specialist","Number of Practitioners",7,
,,,,"FTE Total",8.6,
,,,"Specialist","Number of Practitioners",14,
,,,,"FTE Total",14.7,
,,,"Specialist-in-training","Number of Practitioners",15,
,,,,"FTE Total",14.3,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",4.0,
,,,"Non-clinician","FTE Total",3.0,
,,"Wheat Belt - South","General practitioner (GP)","Number of Practitioners",13,
,,,,"FTE Total",13.2,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist","Number of Practitioners",6,
,,,,"FTE Total",6.7,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",4.0,
,,,"Other clinician","Number of Practitioners",3,
,,"Kimberley","General practitioner (GP)","Number of Practitioners",98,
,,,,"FTE Total",104.0,
,,,"Hospital non-specialist","Number of Practitioners",24,
,,,,"FTE Total",26.6,
,,,"Specialist","Number of Practitioners",61,
,,,,"FTE Total",65.5,
,,,"Specialist-in-training","Number of Practitioners",34,
,,,,"FTE Total",38.3,
,,,"Other clinician","Number of Practitioners",15,
,,,,"FTE Total",15.2,
,,,"Non-clinician","FTE Total",3.0,
,,"East Pilbara","General practitioner (GP)","Number of Practitioners",22,
,,,,"FTE Total",25.3,
,,,"Hospital non-specialist","Number of Practitioners",8,
,,,,"FTE Total",9.4,
,,,"Specialist","Number of Practitioners",29,
,,,,"FTE Total",38.0,
,,,"Specialist-in-training","Number of Practitioners",10,
,,,,"FTE Total",11.2,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",8.4,
,,"West Pilbara","General practitioner (GP)","Number of Practitioners",21,
,,,,"FTE Total",23.9,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",4.2,
,,,"Specialist","Number of Practitioners",13,
,,,,"FTE Total",17.1,
,,,"Specialist-in-training","Number of Practitioners",7,
,,,,"FTE Total",7.4,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",5.5,
,,"Esperance","General practitioner (GP)","Number of Practitioners",15,
,,,,"FTE Total",14.9,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",4.6,
,,,"Specialist","Number of Practitioners",7,
,,,,"FTE Total",7.6,
,,,"Specialist-in-training","Number of Practitioners",8,
,,,,"FTE Total",8.4,
,,"Gascoyne","General practitioner (GP)","Number of Practitioners",18,
,,,,"FTE Total",19.8,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist","Number of Practitioners",7,
,,,,"FTE Total",8.6,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",4.2,
,,"Goldfields","General practitioner (GP)","Number of Practitioners",39,
,,,,"FTE Total",44.3,
,,,"Hospital non-specialist","Number of Practitioners",22,
,,,,"FTE Total",23.8,
,,,"Specialist","Number of Practitioners",28,
,,,,"FTE Total",32.3,
,,,"Specialist-in-training","Number of Practitioners",19,
,,,,"FTE Total",19.2,
,,,"Other clinician","FTE Total",3.0,
,,"Mid West","General practitioner (GP)","Number of Practitioners",72,
,,,,"FTE Total",84.5,
,,,"Hospital non-specialist","Number of Practitioners",35,
,,,,"FTE Total",36.2,
,,,"Specialist","Number of Practitioners",44,
,,,,"FTE Total",49.0,
,,,"Specialist-in-training","Number of Practitioners",25,
,,,,"FTE Total",25.5,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",7.2,
,"2023","Augusta - Margaret River - Busselton","General practitioner (GP)","Number of Practitioners",93,
,,,,"FTE Total",82.2,
,,,"Hospital non-specialist","Number of Practitioners",17,
,,,,"FTE Total",19.1,
,,,"Specialist","Number of Practitioners",35,
,,,,"FTE Total",34.9,
,,,"Specialist-in-training","Number of Practitioners",16,
,,,,"FTE Total",14.0,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",6.8,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Medical practitioner working in General Practice","Number of Practitioners",11,
,,,,"FTE Total",8.3,
,,"Bunbury","General practitioner (GP)","Number of Practitioners",95,
,,,,"FTE Total",94.3,
,,,"Hospital non-specialist","Number of Practitioners",60,
,,,,"FTE Total",68.6,
,,,"Specialist","Number of Practitioners",191,
,,,,"FTE Total",193.2,
,,,"Specialist-in-training","Number of Practitioners",78,
,,,,"FTE Total",74.4,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",7.1,
,,,"Medical practitioner working in General Practice","Number of Practitioners",49,
,,,,"FTE Total",48.5,
,,"Manjimup","General practitioner (GP)","Number of Practitioners",23,
,,,,"FTE Total",26.5,
,,,"Specialist","Number of Practitioners",9,
,,,,"FTE Total",11.7,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Other clinician","FTE Total",3.0,
,,,"Medical practitioner working in General Practice","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Mandurah","General practitioner (GP)","Number of Practitioners",111,
,,,,"FTE Total",104.9,
,,,"Hospital non-specialist","Number of Practitioners",17,
,,,,"FTE Total",19.3,
,,,"Specialist","Number of Practitioners",72,
,,,,"FTE Total",72.9,
,,,"Specialist-in-training","Number of Practitioners",16,
,,,,"FTE Total",16.2,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",4.5,
,,,"Medical practitioner working in General Practice","Number of Practitioners",20,
,,,,"FTE Total",17.8,
,,"Cottesloe - Claremont","General practitioner (GP)","Number of Practitioners",146,
,,,,"FTE Total",117.9,
,,,"Hospital non-specialist","Number of Practitioners",420,
,,,,"FTE Total",465.7,
,,,"Specialist","Number of Practitioners",1088,
,,,,"FTE Total",1134.0,
,,,"Specialist-in-training","Number of Practitioners",393,
,,,,"FTE Total",428.1,
,,,"Other clinician","Number of Practitioners",80,
,,,,"FTE Total",81.4,
,,,"Non-clinician","Number of Practitioners",27,
,,,,"FTE Total",19.9,
,,,"Medical practitioner working in General Practice","Number of Practitioners",37,
,,,,"FTE Total",29.8,
,,"Perth City","General practitioner (GP)","Number of Practitioners",295,
,,,,"FTE Total",241.0,
,,,"Hospital non-specialist","Number of Practitioners",393,
,,,,"FTE Total",449.2,
,,,"Specialist","Number of Practitioners",1142,
,,,,"FTE Total",1166.9,
,,,"Specialist-in-training","Number of Practitioners",315,
,,,,"FTE Total",348.5,
,,,"Other clinician","Number of Practitioners",80,
,,,,"FTE Total",69.4,
,,,"Non-clinician","Number of Practitioners",42,
,,,,"FTE Total",32.3,
,,,"Medical practitioner working in General Practice","Number of Practitioners",59,
,,,,"FTE Total",47.8,
,,"Bayswater - Bassendean","General practitioner (GP)","Number of Practitioners",57,
,,,,"FTE Total",50.6,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",9,
,,,,"FTE Total",9.8,
,,,"Specialist-in-training","Number of Practitioners",8,
,,,,"FTE Total",8.1,
,,,"Medical practitioner working in General Practice","Number of Practitioners",16,
,,,,"FTE Total",14.0,
,,"Mundaring","General practitioner (GP)","Number of Practitioners",30,
,,,,"FTE Total",29.4,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Medical practitioner working in General Practice","Number of Practitioners",3,
,,,,"FTE Total",3.1,
,,"Swan","General practitioner (GP)","Number of Practitioners",120,
,,,,"FTE Total",110.0,
,,,"Hospital non-specialist","Number of Practitioners",93,
,,,,"FTE Total",95.9,
,,,"Specialist","Number of Practitioners",216,
,,,,"FTE Total",212.0,
,,,"Specialist-in-training","Number of Practitioners",75,
,,,,"FTE Total",74.0,
,,,"Other clinician","Number of Practitioners",19,
,,,,"FTE Total",16.0,
,,,"Non-clinician","Number of Practitioners",3,
,,,"Medical practitioner working in General Practice","Number of Practitioners",44,
,,,,"FTE Total",38.3,
,,"Joondalup","General practitioner (GP)","Number of Practitioners",209,
,,,,"FTE Total",174.0,
,,,"Hospital non-specialist","Number of Practitioners",141,
,,,,"FTE Total",156.1,
,,,"Specialist","Number of Practitioners",261,
,,,,"FTE Total",271.0,
,,,"Specialist-in-training","Number of Practitioners",90,
,,,,"FTE Total",94.2,
,,,"Other clinician","Number of Practitioners",15,
,,,,"FTE Total",12.3,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Medical practitioner working in General Practice","Number of Practitioners",37,
,,,,"FTE Total",29.9,
,,"Stirling","General practitioner (GP)","Number of Practitioners",176,
,,,,"FTE Total",141.4,
,,,"Hospital non-specialist","Number of Practitioners",24,
,,,,"FTE Total",28.4,
,,,"Specialist","Number of Practitioners",134,
,,,,"FTE Total",123.0,
,,,"Specialist-in-training","Number of Practitioners",31,
,,,,"FTE Total",31.1,
,,,"Other clinician","Number of Practitioners",10,
,,,,"FTE Total",9.4,
,,,"Non-clinician","Number of Practitioners",4,
,,,,"FTE Total",3.9,
,,,"Medical practitioner working in General Practice","Number of Practitioners",42,
,,,,"FTE Total",35.7,
,,"Wanneroo","General practitioner (GP)","Number of Practitioners",159,
,,,,"FTE Total",137.9,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",29,
,,,,"FTE Total",27.7,
